hour_of_day,trip_count
0,327
1,178
2,100
3,72
4,59
5,314
6,971
7,2245
8,3643
9,2193
10,1709
11,1683
12,1843
13,1916
14,1673
15,1821
16,2148
17,3569
18,4364
19,3223
20,2314
21,1477
22,987
23,601
